generation,fitness_score
1,2.315058618687233
2,2.682457671150342
3,2.255828477522072
4,2.764423455490134
5,2.561039186049694
6,2.103374344244304
7,2.0771491169972736
8,2.6054604633159375
9,2.3430214834901535
10,3.0271502794216016
11,2.6361998365064387
12,2.3502000557037643
13,2.328438432167655
14,2.9488404430347868
15,2.911395569721395
16,2.649017692734139
17,2.5567846084678445
18,2.556784614113755
19,2.556784614113755
20,2.556784614113755
21,2.3812679026332604
22,2.3791274477794087
23,2.7072590473543294
24,2.4862615535822044
25,2.0111864446764516
26,2.2809976780285317
27,2.3575582835549995
28,2.4944120456906616
29,2.155746468415047
30,2.203440016557096
