generation,fitness_score
1,2.465316820109205
2,2.2683257471633933
3,2.4369095453165746
4,2.6225198071647142
5,2.7323300260690595
6,2.717522469563542
7,2.717522469563542
8,2.717522469563542
9,2.778755729171647
10,2.7930955470662004
11,2.750130559001094
12,2.7875636059357634
13,2.7995767017120388
14,2.8008205685522913
15,2.8008167503451302
16,2.738422101590892
17,2.8008205685522913
18,2.8008205685522913
19,2.8008205685522913
20,2.8008205685522913
21,2.623718325830442
22,2.8008205685522913
23,2.8008205685522913
24,2.8008205685522913
25,2.800717511162981
26,2.800717511162981
27,2.800717511162981
28,2.800717511162981
29,2.800717511162981
30,2.800717511162981
31,2.800717511162981
32,2.800717511162981
33,2.7938744453847533
34,2.800717511162981
