generation,fitness_score
1,2.2531375457703
2,2.6370928630895083
3,2.393512106565267
4,2.448925979282616
5,2.448925979282616
6,2.448925979282616
7,2.487684077958221
8,2.5380900021726016
9,2.5489745108641944
10,2.5489745108641944
11,2.5380900021726016
12,2.5489745108641944
13,2.808553614005547
14,2.808553614005547
15,2.808553614005547
16,2.808553614005547
17,2.8085533619085417
18,2.8085533619085417
19,2.808554126661945
20,2.827711123839338
21,2.827711123839338
22,2.827711123839338
23,2.827711123839338
24,2.8277115802360413
25,2.8373264723426743
26,2.8373264723426743
27,2.8373264696603946
28,2.8373270095560508
29,2.8373264723426743
30,2.871785798592967
31,2.8831880078222696
32,2.885229202366419
33,2.8831880324268897
34,2.9072070428314665
35,2.9072070428314665
36,2.9072070428314665
37,2.9072070428314665
38,2.9072070428314665
39,2.877460859106524
40,2.907207042831468
41,2.9072070428314727
42,2.9072070428314607
43,3.0882876953009606
44,3.0882876953009606
45,3.120258472388709
46,3.120258472388709
47,3.1080888847707357
48,3.1091453436111753
49,3.1080888847707357
50,3.1091453436111753
51,3.107742835235852
52,3.1091453436111753
53,3.108834252953227
54,3.120199235737685
55,3.1202293948990394
56,3.1202439647225857
57,3.1202439647225857
58,3.1202439647225857
59,3.1202439647225857
60,3.1202439647225857
61,3.1202439647225857
62,3.090435735200307
63,3.1202439647225857
64,3.1202439647225857
65,3.120315920295213
66,3.1202439647225857
67,3.120315920295213
68,3.120515845068235
69,3.12033784313848
70,3.1204971917060047
71,3.1204971917060047
72,3.120498228684611
73,3.120498228684611
74,3.120498228684611
75,3.1205049263730205
76,3.120504926373022
77,3.1205049263730205
78,2.938518609981856
79,3.1205049263730205
80,3.1205049263730196
81,3.120504926373022
82,3.120504926373022
83,3.120504926373022
84,3.120504926373022
85,3.120504926373022
86,3.120504926373022
87,3.120504926373022
88,3.120504926373022
