generation,fitness_score
1,2.368762219568688
2,2.7129689375749813
3,2.717423189664717
4,2.7445773522041783
5,2.7445773522041783
6,2.687801299447484
7,2.6912322194663854
8,2.691059967957349
9,2.6907687472587165
10,2.6911511401362023
11,2.6912323382753165
12,2.691232300537078
13,2.691151115613289
14,2.7098687472676555
15,2.709870620611555
16,2.7098689076555136
17,2.7098706454355654
18,2.709870645435556
19,2.70987040273351
20,2.709870759957346
21,2.3233120723456335
22,2.7098707576385745
23,2.7098707559307496
24,2.709870747324257
