generation,fitness_score
1,2.419771433718659
2,2.066621965419955
3,2.0669946350084047
4,2.8696057876728713
5,3.1861073402821907
6,1.985760744313404
7,2.1270189032168494
8,2.0882619571853684
9,2.1713454867181
10,2.2126562877339557
11,2.281797415670836
12,2.270591345575938
13,2.230181914737769
14,2.4219493848972546
15,2.113028640566276
16,2.030840419643117
17,2.43469515010071
18,2.059623744252255
19,2.107431351932849
20,1.978972477743175
21,2.487798946232042
22,2.494559091965243
23,2.249606552164368
24,2.2792868185605
25,1.8831121326400337
