generation,fitness_score
1,1.8120132632663213
2,2.3130858134171297
3,1.7219434440750665
4,1.693295892787622
5,1.662637343248031
6,1.675556000767899
7,1.7483324345669509
8,1.685178639019087
9,2.1027716726703107
10,2.02780651220196
11,2.3182897236675224
12,2.289422233001195
13,2.638442404923241
14,1.7314113331749583
15,1.7370552473081746
16,1.6535330593444924
17,1.6636356737112457
18,1.6605727143504947
19,1.6605727143504947
20,1.72019735099658
21,1.8243083489976097
22,1.82411367665172
23,2.3351745536071857
24,2.4955232362066715
25,2.475094704969661
26,1.8377371358184242
27,1.8377371358184242
28,1.8017591570788962
29,2.071237691440842
30,2.2267124147500033
31,1.448613417448267
32,2.1616022159306394
33,1.4545384468294373
