generation,fitness_score
1,4.564235430576164
2,4.549527950088532
3,4.707288530672103
4,4.846242011119224
5,4.846242011119224
6,4.788874079942486
7,4.672431847860308
8,4.6579249668157425
9,4.732898250645547
10,4.722942787726355
11,4.722942787726355
12,4.722942787726355
13,4.722942787726355
14,4.722942787726355
15,4.646160473425646
16,4.646160473425646
17,4.646160473425646
18,4.646160473425646
19,4.646160473425646
20,4.727913108650927
21,4.727913108650927
22,4.72700245280659
23,4.727913108650927
24,4.727913108650927
