generation,fitness_score
1,2.348367548189174
2,2.7358132167397473
3,2.9178088070470043
4,2.7503054765122807
5,2.911940511944312
6,2.91051500294415
7,2.9066496343863535
8,2.9360850284312403
9,2.9360850284312403
10,2.9360850284312403
11,2.9473464511316685
12,2.941689348783774
13,2.946355262914292
14,2.946355262914292
15,2.9463552880634025
16,2.946355262914292
17,2.946355262914292
18,3.120579167478413
19,3.1105307956008064
20,3.025151359630224
21,3.1858540566290228
22,3.180463249839673
23,3.1858540566290228
24,3.1870405532693153
25,3.1857380895065868
26,3.166814225078013
27,3.206493675881552
28,3.2061663551896022
29,3.206493675881552
30,3.205747369076181
31,3.2060746932623845
32,3.206493675881552
33,3.206493675881552
34,3.206493675881552
35,3.206493675881552
36,3.206493675881552
37,3.2374895614244408
38,3.2374895614244408
39,3.2374895614244408
40,3.2374895614244408
41,3.2374895614244408
42,3.2374895614244408
43,3.2374895614244408
44,3.2374895614244408
45,3.2374895614244408
46,3.2374895614244408
47,3.2374895614244408
48,3.2421938685990876
49,3.2421469709786193
50,3.2421469709786193
51,3.2421469709786193
52,3.5070843733706263
53,3.6635938202942953
54,3.6635938202942953
55,3.6635938202942953
56,3.6635938202942953
57,3.6635938202942953
58,3.6635938202942953
59,3.6635938202942953
60,3.6635938202942953
61,3.6635938202942953
62,3.6635938202942953
63,3.6635938202942953
64,3.6635938202942953
65,3.6580807417445755
66,3.6580807417445755
67,3.6580807417445755
68,3.6430260704706003
69,3.6474560240200447
70,3.6474560240200447
71,3.6474560240200447
72,3.6474560240200447
73,3.6474560240200447
