generation,fitness_score
1,2.2637034662168354
2,2.7739002950433767
3,2.863143210468284
4,3.026773787347823
5,3.012938307337795
6,3.012938307337795
7,3.02663769773371
8,3.02663769773371
9,3.02663769773371
10,3.065840887169595
11,3.065840887169595
12,3.0534318057288874
13,3.065840887169595
14,3.065840887169595
15,3.065840887169595
16,3.065840887169595
17,3.065840887169595
18,3.065840887169595
19,3.065840887169595
20,3.351431195110073
21,3.351431195110073
22,3.351431195110073
23,3.351431195110073
24,3.351431195110073
25,3.352764153518747
26,3.352477515788293
27,3.357292681919366
28,3.3527941072861593
29,3.357292681919366
30,3.357292681919366
31,3.357292681919366
32,3.357292681919366
33,3.357292681919366
34,3.357292681919366
35,3.357292681919366
36,3.357292681919366
37,3.357292681919366
38,3.357292681919366
39,3.357292681919366
40,3.357292681919366
41,3.357292681919366
42,3.357292681919366
43,3.357292681919366
44,3.357292681919366
45,3.357292681919366
46,3.357292681919366
47,3.357292681919366
