generation,fitness_score
1,2.589920479116066
2,2.427844835093372
3,2.4173572437251325
4,2.524055246878006
5,2.5356752401734903
6,2.3608663469174425
7,2.5859923826454367
8,2.609667852230465
9,2.614229262394908
10,2.6290632765973863
11,2.6336703177702514
12,2.6336787212213917
13,2.6337765127913664
14,2.633799085636345
15,2.7451349003555405
16,2.6337990856947227
17,2.6337990856947227
18,2.6337990864068335
19,2.633799091663416
20,2.6337990919155803
21,2.6337990919155803
22,2.6337990919155803
23,2.6337991199949666
24,2.583620547609187
25,2.6337991199949666
26,2.633799137775377
27,2.633799137775377
28,2.6337991868886546
29,2.6337991864465504
30,2.628138419374409
31,2.6281383725109295
32,2.6281384175095024
33,2.6281384175095024
34,2.6281384175095024
35,2.628138419417583
