generation,fitness_score
1,2.2707436975951447
2,1.5357284930422304
3,2.3729186250918435
4,2.109400268056961
5,2.289336314979
6,2.2194060801444775
7,2.3671371343869776
8,2.1499844592384703
9,1.4537230556864817
10,1.450599916062545
11,1.43207075766815
12,1.4881903526975035
13,1.59475721446217
14,2.03104853497153
15,2.252374564438329
16,2.3134970936931802
17,1.4226646086662211
18,1.4292965110228915
19,2.2575533894982245
20,2.222235656998799
21,2.3393005300464647
22,1.4622346838914977
23,2.6378456201257228
24,1.450928048821307
25,2.440784898876354
26,2.5296538106889455
27,1.4511080517828443
28,1.4510570040822477
29,1.4506388776020978
30,1.4510213591313974
31,2.233428505767198
32,1.4368126036663735
33,2.2012713085772067
34,2.239551220272681
35,2.2308332517474803
36,1.4944435422196816
37,2.3473043893668026
38,2.02180945292016
39,2.0792232440093015
40,2.0976702837270023
41,2.1434777027105425
42,2.1792774606624956
43,1.4350734564948158
