generation,fitness_score
1,1.8993528755042979
2,1.3751991295641575
3,2.3305312602361647
4,1.7402827465706676
5,2.2900100728237747
6,1.7865074886010277
7,2.6351351013963704
8,2.77083153725401
9,2.4295729456159223
10,2.057232819635306
11,2.620897257168802
12,1.8301233276644455
13,1.888502019002067
14,1.6181349750293197
15,1.5346496517130372
16,1.5844499827928964
17,2.3348677545302476
18,1.9361381152382988
19,1.508261125283587
20,1.9065845173235063
21,1.5194307113513028
22,1.962238456844124
23,2.5153705173655863
24,2.233116676269041
25,2.5351253944729715
26,2.5959998679826315
27,2.6103578150509357
28,2.1060692613674004
