run,n_generations,best_fitness,r2,rmse,mse
1,24,3.179741054495778,0.6145593008938495,44.54115900148545,1983.9148451956082
2,21,2.9405355392785646,0.6897692259976815,39.95997120353519,1596.7992985873618
3,33,2.638442404923241,0.770222411046804,34.39034736029114,1182.6959915614837
4,78,4.591328971958961,0.24170657654990702,62.474296316042384,3903.0377001846673
5,45,2.901946297343146,0.5833430630801053,46.30970737917716,2144.5889975450154
6,23,5.160356815356198,-2.9013762369818967,141.70711148201318,20080.905444575714
7,21,2.671122475243447,-6.392600212281227,195.06589226539046,38050.70232529292
8,30,3.0271502794216016,0.693561500735545,39.7149839878489,1577.2799531550945
9,25,3.1861073402821907,0.9173706406825439,20.62290879406899,425.3043671284881
10,28,2.4745618373454734,0.668828497454434,41.28660836147145,1704.5840299935244
11,28,2.77083153725401,0.46829006926072314,52.31426334481621,2736.7821493107813
12,21,4.604372843868965,0.8751990929795079,25.344959363835237,642.3669651544595
13,46,4.880770282420502,0.7111984685092483,38.555156859096236,1486.5001204295154
14,22,2.842288683937544,0.24040341986565328,62.527955523779475,3909.7452219837446
15,39,2.9924486527902214,-1.528157123830201,114.07349802003564,13012.762950527074
16,43,2.6378456201257228,-2.4332487214489174,132.9337823610788,17671.39049282267
17,50,5.091115193358437,0.7502199443198063,35.85598086613052,1285.651363872318
18,22,4.859717024021421,0.5945208273561804,45.68430309612052,2087.055549378207
19,21,4.2077345779256685,0.45649267040195884,52.891444861845564,2797.504939573649
20,46,2.9881383528820655,0.4223597311217657,54.52698180338945,2973.191744587164
