run,n_generations,best_fitness,r2,rmse,mse
1,35,2.7451349003555405,0.7316965864881195,37.161721768691905,1380.9935648136698
2,80,4.167814431165016,0.7933213649555876,32.6159866546566,1063.8025854567375
3,54,4.961431548884195,0.552941786970575,47.96945312354182,2301.068432971676
4,21,3.4230940856570937,0.6948588444266752,39.63082577501161,1570.6023516093244
5,65,3.1982080092113865,0.572006221331899,46.93550083618324,2202.9412387433576
6,21,4.415864350700228,0.6406041707801899,43.00998041652151,1849.8584154295636
7,26,4.822403860049926,0.5254150465392431,49.42420711238151,2442.752248687583
8,22,4.897688781178398,0.5028143415037718,50.58736108142275,2559.0811011822448
9,21,2.4973987716747916,0.7083242182325156,38.74653882788427,1501.2942711407436
10,75,3.0310299344313907,0.19845927202074465,64.23112456213751,4125.637362516825
11,21,5.266535484433209,0.5242756411040668,49.48350150201475,2448.616920899896
12,47,3.357292681919366,0.698169973878951,39.415219463208466,1553.5595253328877
13,24,2.7445773522041783,0.7091751842557601,38.68997590036782,1496.914235171043
14,73,3.6635938202942953,0.44379230243081824,53.50584484580455,2862.8754326633098
15,73,3.6535214747896916,0.4422454777693192,53.58019359932214,2870.8371461408415
16,34,2.8008205685522913,0.7700513900441962,34.40314316370333,1183.5762595422668
17,68,3.2424406018915253,0.7956263687351617,32.43360021064695,1051.938422624078
18,36,4.958603170950076,0.3761710789929138,56.665076692161556,3210.930916528551
19,75,2.8958162079191654,0.3584708438424372,57.46334827441509,3302.0363949067237
20,24,4.846242011119224,0.3200379585758433,59.15957739190219,3499.8555971884643
