generation,fitness_score
1,2.461254880570345
2,1.7183761389448922
3,1.6514641082076524
4,1.9788547155530367
5,2.252941454794304
6,1.8389082882030876
7,2.3364955998139014
8,2.422643964136723
9,2.4955441550064474
10,2.367642987147748
11,2.020959107951195
12,2.1933016787771282
13,2.330654628849807
14,2.3549953552911767
15,2.335127665909614
16,2.321313961232403
17,2.389612169929159
18,2.6396964419494107
19,2.2896160659773095
20,2.569908486683227
21,2.8668869442496723
22,1.5744045532541369
23,1.997966394717339
24,2.0243190270874316
25,2.0002938134001793
26,1.5080675955221439
27,1.6641053426880923
28,1.762768741525999
29,1.661254048374094
30,1.7941472840858106
31,1.6138433393451073
32,2.2042211508530523
33,2.2225002179177813
34,2.1113442044838915
35,2.1096686580990003
36,2.0210922398489424
37,2.451241196020173
38,2.7281268402976235
39,1.578222470324181
40,2.2694967864250946
41,1.5946139331153097
