generation,fitness_score
1,2.3544561146128884
2,2.351370522127563
3,2.169398063750058
4,2.5115863624337216
5,1.7321097275911468
6,1.4724565662966906
7,1.4787557354769585
8,2.1031722941433135
9,1.7629290282859564
10,1.4848296901896236
11,1.9297184472031947
12,2.0427053643962876
13,1.6710899749471313
14,1.9654928305616932
15,1.2252386062986191
16,2.5685468012791697
17,2.983982606476463
18,2.9269123384560762
19,2.9924486527902214
20,1.7763814851115316
21,1.514813992973202
22,1.4571784896550606
23,2.698994480024881
24,1.4409649512385654
25,1.4278470829989351
26,1.6033233022604025
27,1.5231786910395593
28,1.4252474422131787
29,2.2215205521220645
30,1.7543011029240876
31,1.5917837992525303
32,1.5732569708152204
33,1.7223877583074574
34,1.6658500188180798
35,1.6743988233874973
36,2.392307495144178
37,2.368218582753684
38,2.3571992766191423
39,2.356983057411158
