generation,fitness_score
1,2.6397467052415613
2,2.5254949214433777
3,3.0768299781071278
4,3.179741054495778
5,2.246566927988523
6,2.4692039529499605
7,2.243909738337525
8,2.1763560675058784
9,2.1636321789336734
10,2.807470052870348
11,2.884195819222786
12,2.7397941333181106
13,2.5365860521561765
14,2.7779138581825764
15,3.019558951652589
16,3.0088527812262815
17,2.734315325047893
18,2.9095291474846063
19,2.8958409060657395
20,2.351649919778839
21,2.718366945497073
22,2.141121114318847
23,2.031130313906309
24,2.152634570485509
