generation,fitness_score
1,2.1649763035555494
2,1.7576327805052478
3,5.160356815356198
4,2.4165265920425867
5,2.8691404314680846
6,2.249603808388803
7,1.877690215287993
8,1.8840904969037608
9,1.7807884718145792
10,1.9639910461700816
11,2.5243448105400583
12,2.039079987896686
13,2.42559817866532
14,2.4297805801794867
15,1.6163388398753011
16,1.685584926666677
17,1.6844562502499438
18,1.7057128684077603
19,1.5807161921910184
20,1.7163711866629767
21,1.7086342754875763
22,1.730860099538099
23,1.7237700992965825
